stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
2133,Wyre Piddle,52.126787,-2.056054,3.365,0.065,0.636,0.116
2134,Buildwas,52.636354,-2.524962,7.037,0.419,3.4,0.424
2139,Charlton Kings,51.885938,-2.052672,2.657,0.268,0.449,0.28
2140TH,Frilsham,51.453438,-1.228555,0.654,-0.243,0.48,0.023
2150TH,Bucklebury,51.435635,-1.201665,0.849,-0.176,0.65,0.019
2153,Epney,51.797035,-2.348106,7.308,1.186,7,1.589
2165,Gloucester,51.864982,-2.252201,4.9190000000000005,0.001,3.2,0.437
2169,Ludlow Corve,52.381603,-2.724237,4.976,0.709,2.4,0.771
2170,Crudgington,52.754258,-2.534083,2.357,0.056,0.788,0.166
2175,Crew Green,52.735739,-2.994315,,,,
2180,Bridgnorth,52.534933,-2.415835,5.264,0.316,3.6,0.521
2180TH,Tidmarsh,51.468325,-1.08539,1.9540000000000002,0.8220000000000001,1.56,1.072
2188,Leigh Court,51.926224,-2.197575,4.236,-0.04,1.3,0.07100000000000001
2190TH,Pangbourne,51.484688,-1.087539,1.09,0.046,0.78,0.079
2195,Sharpness,51.717437,-2.482837,11.711,1.979,10.2,2
2195TH,Sulham,51.462237,-1.077263,1.061,0.003,0.4,0.032
2199TH,Mapledurham Lock,51.486033,-1.039654,0.84,-0.343,0.30000000000000004,0.017
2200,Wimpstone,52.141002,-1.689543,3.517,0.647,1.6,0.67
2200TH,Reading,51.461325,-0.967884,7.413,6.297,7,6.579
2201TH,Caversham Lock,51.460811,-0.963635,1.021,-0.187,0.30000000000000004,0.068
2204TH,Winterborne Monkton,51.450901,-1.859793,2.33,-0.16,1.105,0
2205,Brimscombe,51.724364,-2.200326,1.331,0.621,1,0.644
2206,Merrywalks LVL,51.746918,-2.217953,,,,
2207,Hall Green Road,52.440197,-1.475212,1.952,0,2.15,0.066
2209,Longford,52.446651,-1.487391,1.7269999999999999,0.001,3.04,0.109
2210TH,Marlborough,51.416287,-1.732479,1.003,0.011,0.63,0.041
2213,"Hope Street, Coventry",52.40689,-1.522294,2.544,0.223,3.08,0.264
2215,Sir Henry Parkes Road,52.39358,-1.551005,1.437,0.14400000000000002,2.73,0.202
2216,Torrington Avenue,52.396604,-1.591684,1.491,0,3.2,0
2218,Charterhouse Bridge,52.401988,-1.495801,2.008,0.111,1.9300000000000002,0.153
2219TH,Poulton Farm,51.427238,-1.724504,0.812,0.005,0.857,0.047
2223,College Road,51.896062,-2.069746,1.442,0.064,1.2,0
2225,Bodiam Avenue,51.832287,-2.270144,1.105,-0.064,0.162,0
